institution.displayName,institution.schoolType,institution.state,institution.city,institution.zip,ranking.displayRank,ranking.sortRank,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.satAvg.rawValue,searchData.testAvgs.displayValue.1.value
Abilene Christian University,national-universities,TX,Abilene,79699,#320,320,42380,3.5,3189,1030,20-27
Abraham Baldwin Agricultural College,regional-colleges-south,GA,Tifton,31793,#57,57,10071,,3814,940,16-22
Academy of Art University,regional-universities-west,CA,San Francisco,94105,#105-115,-1,32460,,5363,,N/A
Adams State University,regional-universities-west,CO,Alamosa,81102,#99,99,21848,,1835,920,18-23
Adelphi University,national-universities,NY,Garden City,11530,#163,163,47290,3.7,5055,1110,22-29
Adrian College,regional-colleges-midwest,MI,Adrian,49221,#29,29,40556,3.2,1747,940,17-25
AdventHealth University,health,FL,Orlando,32803,Unranked,-2,20340,,1144,,N/A
Agnes Scott College,national-liberal-arts-colleges,GA,Decatur,30030,#63,63,48150,3.8,1006,1130,24-31
Alabama A&M University,regional-universities-south,AL,Normal,35762,#98,98,18634,,5206,840,15-20
Alabama State University,national-universities,AL,Montgomery,36101,#395-435,-1,19396,3,3296,820,16-20
Alaska Pacific University,regional-colleges-west,AK,Anchorage,99508,#28,28,20760,,376,,N/A
Albany College of Pharmacy and Health Sciences,health,NY,Albany,12208,Unranked,-2,40075,3.7,584,,N/A
Albany State University,regional-universities-south,GA,Albany,31705,#100,100,19902,2.8,5833,810,14-17
Albertus Magnus College,regional-universities-north,CT,New Haven,06511,#111,111,39924,3.1,987,880,21-24
Albion College,national-liberal-arts-colleges,MI,Albion,49224,#124,124,55746,3.4,1454,,N/A
Albizu University,health,PR,San Juan,00902,Unranked,-2,7665,,667,,N/A
Albizu University--Miami,national-universities,FL,Miami,,Unranked,-2,13719,,179,,N/A
Albright College,national-liberal-arts-colleges,PA,Reading,19612,#146,146,28794,,1298,,N/A
Alcorn State University,regional-universities-south,MS,Lorman,39096,#52,52,8549,3.3,2346,903,15-24
Alderson Broaddus University,regional-colleges-south,WV,Philippi,26416,#68,68,33260,3.1,674,892,14-22
Alfred State College--SUNY,regional-colleges-north,NY,Alfred,14802,#8,8,13112,3,3348,960,19-25
Alfred University,regional-universities-north,NY,Alfred,14802,#69,69,39530,3.3,1347,1085,25-30
Alice Lloyd College,regional-colleges-south,KY,Pippa Passes,41844,#34,34,14160,3.3,570,850,16-22
Allegheny College,national-liberal-arts-colleges,PA,Meadville,16335,#75,75,54960,3.5,1353,1114,23-30
Allen College,health,IA,Waterloo,50703,Unranked,-2,20008,,314,,N/A
Allen University,national-liberal-arts-colleges,SC,Columbia,29204,#186-204,-1,13540,,603,,N/A
Alliance University,regional-universities-north,NY,New York,10004,#151-167,-1,27500,,982,848,18-24
Alliant International University,national-universities,CA,San Diego,92131,Unranked,-2,17130,,95,,N/A
Alma College,regional-colleges-midwest,MI,Alma,48801,#7,7,47430,3.6,1245,965,18-25
Alpena Community College,regional-colleges-midwest,MI,Alpena,49707,Unranked,-2,7560,,1487,,N/A
Alvernia University,national-universities,PA,Reading,19607,#296,296,42810,3.5,2018,995,N/A
Alverno College,regional-universities-midwest,WI,Milwaukee,53234,#56,56,31858,3.2,788,,15-21
American Academy of Art,specialty-arts,IL,Chicago,60604,Unranked,-2,37670,,145,,N/A
American College of Thessaloniki,unranked,,"Thessaloniki, Greece",,Unranked,-2,,,0,,N/A
American International College,national-universities,MA,Springfield,01109,#395-435,-1,40550,,1288,940,N/A
American Samoa Community College,regional-colleges-west,AS,Pago Pago,96799,Unranked,-2,5760,,1301,,N/A
American University,national-universities,DC,Washington,20016,#105,105,56544,,7917,1290,29-33
American University in Bulgaria,unranked,,Blagoevgrad 2700,,Unranked,-2,,,0,,N/A
American University in Cairo,unranked,,New Cairo 11835,,Unranked,-2,,,5928,,N/A
American University of Beirut,unranked,,"Riad El Solh, Beirut",,Unranked,-2,,,5797,,N/A
American University of Health Sciences,health,CA,Signal Hill,,Unranked,-2,24575,,369,,N/A
American University of Paris,unranked,,Paris,75007,Unranked,-2,,,1018,,N/A
American University of Puerto Rico--Bayamon,regional-colleges-south,PR,Bayamon,00960,#81,81,7056,,228,,N/A
American University of Puerto Rico--Manati,regional-colleges-south,PR,Bayamon,00960,Unranked,-2,7056,,273,,N/A
AmeriTech College-Draper,health,UT,Draper,,Unranked,-2,22603,,1996,,N/A
Amherst College,national-liberal-arts-colleges,MA,Amherst,01002,#2,2,67280,,1898,,32-35
Anderson University,regional-universities-south,SC,Anderson,29621,#41,41,33570,3.7,3237,,N/A
Anderson University (IN),regional-universities-midwest,IN,Anderson,46012,#67,67,35640,3.5,1129,980,17-25
Andrew College,regional-colleges-south,GA,Cuthbert,39840,Unranked,-2,19126,,272,,N/A
Andrews University,national-universities,MI,Berrien Springs,49104,#320,320,33710,3.6,1295,1092,20-29
Angelo State University,regional-universities-west,TX,San Angelo,76909,#72,72,21550,3.6,9472,910,17-23
Anna Maria College,regional-universities-north,MA,Paxton,01612,#151-167,-1,41010,,1119,,N/A
Antelope Valley College,regional-colleges-west,CA,Lancaster,93536,Unranked,-2,7724,,11105,,N/A
Antioch College,national-liberal-arts-colleges,OH,Yellow Springs,45387,#100,100,37143,,127,,19-26
Appalachian Bible College,faith,WV,Bradley,25818,Unranked,-2,18230,,192,,N/A
Appalachian State University,regional-universities-south,NC,Boone,28608,#3,3,25077,3.9,18558,1100,21-27
Aquinas College,national-liberal-arts-colleges,MI,Grand Rapids,49506,#156,156,38520,,1169,1000,N/A
Arcadia University,regional-universities-north,PA,Glenside,19038,#69,69,47130,3.4,1870,1088,24-29
Arizona Christian University,regional-colleges-west,AZ,Glendale,85306,#18,18,35047,3.3,1082,1000,18-25
Arizona College of Nursing--Las Vegas,health,NV,Las Vegas,,Unranked,-2,21653,,946,,N/A
Arizona College of Nursing--Tempe,health,AZ,Tempe,,Unranked,-2,24000,,0,,N/A
Arizona State University,national-universities,AZ,Tempe,85287,#105,105,32193,3.5,65492,1120,19-27
Arkansas Baptist College,regional-colleges-south,AR,Little Rock,72202,#91-99,-1,8760,2.8,864,,N/A
Arkansas State University,national-universities,AR,State University,72467,#361,361,13312,3.6,8201,980,19-25
Arkansas Tech University,regional-universities-south,AR,Russellville,72801,#73,73,17466,3.4,8722,990,17-24
Art Academy of Cincinnati,specialty-arts,OH,Cincinnati,45202,Unranked,-2,37394,,234,,N/A
ArtCenter College of Design,regional-universities-west,CA,Pasadena,91103,#26,26,49942,,2028,,N/A
Art Institute of Atlanta,regional-colleges-south,GA,Atlanta,30328,#91-99,-1,20794,,586,,N/A
Art Institute of Houston,regional-colleges-west,TX,Houston,77056,#41,41,20794,,386,,N/A
Asbury University,regional-universities-south,KY,Wilmore,40390,#24,24,33640,3.8,1404,1060,20-27
Ashland University,regional-universities-midwest,OH,Ashland,44805,#35,35,28910,3.6,5109,1073,20-26
