institution.displayName,institution.state,institution.city,institution.zip,institution.institutionalControl,ranking.displayRank,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
Abilene Christian University,TX,Abilene,79699,private,#320,66,42380,3.5,3189,1030-1250,20-27
Abraham Baldwin Agricultural College,GA,Tifton,31793,public,#57,75,10071,,3814,940-1130,16-22
Academy of Art University,CA,San Francisco,94105,proprietary,#105-115,,32460,,5363,N/A,N/A
Adams State University,CO,Alamosa,81102,public,#99,100,21848,,1835,920-1140,18-23
Adelphi University,NY,Garden City,11530,private,#163,73,47290,3.7,5055,1110-1310,22-29
Adrian College,MI,Adrian,49221,private,#29,69,40556,3.2,1747,940-1160,17-25
AdventHealth University,FL,Orlando,32803,private,Unranked,90,20340,,1144,N/A,N/A
Agnes Scott College,GA,Decatur,30030,private,#63,67,48150,3.8,1006,1130-1350,24-31
Alabama A&M University,AL,Normal,35762,public,#98,68,18634,,5206,840-1030,15-20
Alabama State University,AL,Montgomery,36101,public,#395-435,97,19396,3,3296,820-1040,16-20
Alaska Pacific University,AK,Anchorage,99508,private,#28,96,20760,,376,N/A,N/A
Albany College of Pharmacy and Health Sciences,NY,Albany,12208,private,Unranked,66,40075,3.7,584,N/A,N/A
Albany State University,GA,Albany,31705,public,#100,86,19902,2.8,5833,810-960,14-17
Albertus Magnus College,CT,New Haven,06511,private,#111,80,39924,3.1,987,880-1070,21-24
Albion College,MI,Albion,49224,private,#124,67,55746,3.4,1454,N/A,N/A
Albizu University,PR,San Juan,00902,private,Unranked,93,7665,,667,N/A,N/A
Albizu University--Miami,FL,Miami,,private,Unranked,100,13719,,179,N/A,N/A
Albright College,PA,Reading,19612,private,#146,76,28794,,1298,N/A,N/A
Alcorn State University,MS,Lorman,39096,public,#52,30,8549,3.3,2346,903-1115,15-24
Alderson Broaddus University,WV,Philippi,26416,private,#68,61,33260,3.1,674,892-1050,14-22
Alfred State College--SUNY,NY,Alfred,14802,public,#8,82,13112,3,3348,960-1180,19-25
Alfred University,NY,Alfred,14802,private,#69,51,39530,3.3,1347,1085-1295,25-30
Alice Lloyd College,KY,Pippa Passes,41844,private,#34,13,14160,3.3,570,850-1230,16-22
Allegheny College,PA,Meadville,16335,private,#75,64,54960,3.5,1353,1114-1372,23-30
Allen College,IA,Waterloo,50703,private,Unranked,100,20008,,314,N/A,N/A
Allen University,SC,Columbia,29204,private,#186-204,49,13540,,603,N/A,N/A
Alliance University,NY,New York,10004,private,#151-167,100,27500,,982,848-1093,18-24
