institution.displayName,institution.state,institution.city,institution.isPublic,ranking.displayRank,searchData.tuition.rawValue,searchData.acceptanceRate.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
Abilene Christian University,TX,Abilene,True,#320,42380,66,3.5,3189,1030-1250,20-27
Abraham Baldwin Agricultural College,GA,Tifton,True,#57,10071,75,,3814,940-1130,16-22
Academy of Art University,CA,San Francisco,True,#105-115,32460,,,5363,N/A,N/A
Adams State University,CO,Alamosa,True,#99,21848,100,,1835,920-1140,18-23
Adelphi University,NY,Garden City,True,#163,47290,73,3.7,5055,1110-1310,22-29
Adrian College,MI,Adrian,True,#29,40556,69,3.2,1747,940-1160,17-25
AdventHealth University,FL,Orlando,True,Unranked,20340,90,,1144,N/A,N/A
Agnes Scott College,GA,Decatur,True,#63,48150,67,3.8,1006,1130-1350,24-31
Alabama A&M University,AL,Normal,True,#98,18634,68,,5206,840-1030,15-20
Alabama State University,AL,Montgomery,True,#395-435,19396,97,3,3296,820-1040,16-20
Alaska Pacific University,AK,Anchorage,True,#28,20760,96,,376,N/A,N/A
Albany College of Pharmacy and Health Sciences,NY,Albany,True,Unranked,40075,66,3.7,584,N/A,N/A
Albany State University,GA,Albany,True,#100,19902,86,2.8,5833,810-960,14-17
Albertus Magnus College,CT,New Haven,True,#111,39924,80,3.1,987,880-1070,21-24
Albion College,MI,Albion,True,#124,55746,67,3.4,1454,N/A,N/A
Albizu University,PR,San Juan,True,Unranked,7665,93,,667,N/A,N/A
Albizu University--Miami,FL,Miami,True,Unranked,13719,100,,179,N/A,N/A
Albright College,PA,Reading,True,#146,28794,76,,1298,N/A,N/A
Alcorn State University,MS,Lorman,True,#52,8549,30,3.3,2346,903-1115,15-24
Alderson Broaddus University,WV,Philippi,True,#68,33260,61,3.1,674,892-1050,14-22
Alfred State College--SUNY,NY,Alfred,True,#8,13112,82,3,3348,960-1180,19-25
Alfred University,NY,Alfred,True,#69,39530,51,3.3,1347,1085-1295,25-30
Alice Lloyd College,KY,Pippa Passes,True,#34,14160,13,3.3,570,850-1230,16-22
Allegheny College,PA,Meadville,True,#75,54960,64,3.5,1353,1114-1372,23-30
Allen College,IA,Waterloo,True,Unranked,20008,100,,314,N/A,N/A
Allen University,SC,Columbia,True,#186-204,13540,49,,603,N/A,N/A
Alliance University,NY,New York,True,#151-167,27500,100,,982,848-1093,18-24
Alliant International University,CA,San Diego,True,Unranked,17130,100,,95,N/A,N/A
Alma College,MI,Alma,True,#7,47430,65,3.6,1245,965-1200,18-25
Alpena Community College,MI,Alpena,True,Unranked,7560,,,1487,N/A,N/A
Alvernia University,PA,Reading,True,#296,42810,59,3.5,2018,995-1170,N/A
Alverno College,WI,Milwaukee,True,#56,31858,90,3.2,788,N/A,15-21
American Academy of Art,IL,Chicago,True,Unranked,37670,,,145,N/A,N/A
American College of Thessaloniki,,"Thessaloniki, Greece",True,Unranked,,,,0,N/A,N/A
American International College,MA,Springfield,True,#395-435,40550,58,,1288,940-1110,N/A
American Samoa Community College,AS,Pago Pago,True,Unranked,5760,,,1301,N/A,N/A
American University,DC,Washington,True,#105,56544,41,,7917,1290-1435,29-33
American University in Bulgaria,,Blagoevgrad 2700,True,Unranked,,,,0,N/A,N/A
American University in Cairo,,New Cairo 11835,True,Unranked,,32,,5928,N/A,N/A
American University of Beirut,,"Riad El Solh, Beirut",True,Unranked,,58,,5797,N/A,N/A
American University of Health Sciences,CA,Signal Hill,True,Unranked,24575,,,369,N/A,N/A
American University of Paris,,Paris,True,Unranked,,,,1018,N/A,N/A
American University of Puerto Rico--Bayamon,PR,Bayamon,True,#81,7056,,,228,N/A,N/A
American University of Puerto Rico--Manati,PR,Bayamon,True,Unranked,7056,,,273,N/A,N/A
AmeriTech College-Draper,UT,Draper,True,Unranked,22603,86,,1996,N/A,N/A
Amherst College,MA,Amherst,True,#2,67280,7,,1898,N/A,32-35
Anderson University,SC,Anderson,True,#41,33570,45,3.7,3237,N/A,N/A
Anderson University (IN),IN,Anderson,True,#67,35640,52,3.5,1129,980-1210,17-25
Andrew College,GA,Cuthbert,True,Unranked,19126,51,,272,N/A,N/A
Andrews University,MI,Berrien Springs,True,#320,33710,91,3.6,1295,1092-1365,20-29
Angelo State University,TX,San Angelo,True,#72,21550,78,3.6,9472,910-1130,17-23
Anna Maria College,MA,Paxton,True,#151-167,41010,73,,1119,N/A,N/A
Antelope Valley College,CA,Lancaster,True,Unranked,7724,,,11105,N/A,N/A
Antioch College,OH,Yellow Springs,True,#100,37143,83,,127,N/A,19-26
Appalachian Bible College,WV,Bradley,True,Unranked,18230,46,,192,N/A,N/A
Appalachian State University,NC,Boone,True,#3,25077,83,3.9,18558,1100-1270,21-27
Aquinas College,MI,Grand Rapids,True,#156,38520,91,,1169,1000-1180,N/A
Arcadia University,PA,Glenside,True,#69,47130,78,3.4,1870,1088-1320,24-29
Arizona Christian University,AZ,Glendale,True,#18,35047,70,3.3,1082,1000-1200,18-25
Arizona College of Nursing--Las Vegas,NV,Las Vegas,True,Unranked,21653,99,,946,N/A,N/A
Arizona College of Nursing--Tempe,AZ,Tempe,True,Unranked,24000,,,0,N/A,N/A
Arizona State University,AZ,Tempe,True,#105,32193,90,3.5,65492,1120-1370,19-27
Arkansas Baptist College,AR,Little Rock,True,#91-99,8760,73,2.8,864,N/A,N/A
Arkansas State University,AR,State University,True,#361,13312,70,3.6,8201,980-1200,19-25
Arkansas Tech University,AR,Russellville,True,#73,17466,94,3.4,8722,990-1180,17-24
Art Academy of Cincinnati,OH,Cincinnati,True,Unranked,37394,100,,234,N/A,N/A
ArtCenter College of Design,CA,Pasadena,True,#26,49942,76,,2028,N/A,N/A
Art Institute of Atlanta,GA,Atlanta,True,#91-99,20794,,,586,N/A,N/A
Art Institute of Houston,TX,Houston,True,#41,20794,,,386,N/A,N/A
Asbury University,KY,Wilmore,True,#24,33640,96,3.8,1404,1060-1320,20-27
Ashland University,OH,Ashland,True,#35,28910,60,3.6,5109,1073-1250,20-26
Aspen University,CO,Phoenix,True,Unranked,5355,,,6385,N/A,N/A
Assumption University,MA,Worcester,True,#54,49414,82,3.5,1705,N/A,N/A
Atenas College,PR,Manati,True,Unranked,8198,,,574,N/A,N/A
Atlanta Metropolitan State College,GA,Atlanta,True,Unranked,9731,,,1605,N/A,N/A
Auburn University,AL,Auburn,True,#93,33944,44,,25379,1240-1390,25-31
Auburn University at Montgomery,AL,Montgomery,True,#63,25000,92,3.4,3757,990-1200,18-25
Augsburg University,MN,Minneapolis,True,#17,42064,77,,2358,1188-1376,17-24
Augustana College,IL,Rock Island,True,#100,49834,61,3.4,2318,1020-1250,21-28
Augustana University,SD,Sioux Falls,True,#17,39190,66,3.7,1831,1110-1325,21-28
Augusta University,GA,Augusta,True,#332,22270,86,,5396,N/A,19-26
Aultman College of Nursing and Health Sciences,OH,Canton,True,Unranked,19310,32,,259,N/A,N/A
Aurora University,IL,Aurora,True,#303,27420,86,,4114,960-1130,19-24
Austin College,TX,Sherman,True,#93,46025,55,3.6,1169,1130-1360,23-29
Austin Community College District,TX,,True,Unranked,10590,,,35609,N/A,N/A
Austin Peay State University,TN,Clarksville,True,#33,14305,94,3.3,8120,N/A,18-24
Ave Maria University,FL,Ave Maria,True,#182,28224,44,,1251,N/A,N/A
Averett University,VA,Danville,True,#15,38550,76,3,1122,910-1155,17-22
Avila University,MO,Kansas City,True,#109,22390,68,,1024,933-1160,17-23
Azusa Pacific University,CA,Azusa,True,#236,42330,87,3.8,2588,1045-1280,23-28
Babson College,MA,Babson Park,True,Unranked,56032,22,,2761,N/A,N/A
Bacone College,OK,Muskogee,True,#45-48,15060,55,,266,938-1033,14-17
Baker College,MI,Owosso,True,#149-164,12710,37,3.2,3778,N/A,N/A
Bakersfield College,CA,Bakersfield,True,Unranked,9560,,,24479,N/A,N/A
Baker University,KS,Baldwin City,True,#345,33800,92,3.3,1187,1000-1200,17-23
Baldwin Wallace University,OH,Berea,True,#6,37538,77,,2744,1043-1298,20-27
Ball State University,IN,Muncie,True,#216,28766,69,3.6,14416,1090-1260,23-28
Baptist Bible College,MO,Springfield,True,Unranked,15690,,,236,N/A,N/A
Baptist College of Florida,FL,Graceville,True,#14,12450,100,,405,930-1200,17-23
Baptist Health Sciences University,TN,Memphis,True,Unranked,13078,35,,910,N/A,N/A
Baptist Missionary Association Theological Seminary,TX,Jacksonville,True,Unranked,8850,85,,51,N/A,N/A
Barclay College,KS,Haviland,True,#48,24990,54,,168,N/A,N/A
Bard College,NY,Annandale on Hudson,True,#72,60270,60,,2171,N/A,N/A
Bard College at Simon's Rock,MA,Great Barrington,True,#32,66594,34,,304,N/A,N/A
Barnard College,NY,New York,True,#11,66246,9,,3442,1440-1550,32-34
Barry University,FL,Miami Shores,True,#395-435,32500,60,,3122,880-1070,17-22
Barton College,NC,Wilson,True,#10,35600,95,3.2,1187,970-1150,17-23
Bates College,ME,Lewiston,True,#24,63478,14,,1790,1310-1505,31-33
Bayamon Central University,PR,Bayamon,True,#123-135,5594,98,,759,N/A,N/A
Baylor University,TX,Waco,True,#93,54844,46,,15213,1230-1410,28-33
Bay Path University,MA,Longmeadow,True,#123,37227,75,,1338,1020-1140,N/A
Bay State College,MA,Boston,True,#41-44,2900,50,,346,N/A,N/A
Beacon College,FL,Leesburg,True,#3,47110,52,3.3,501,N/A,N/A
Belhaven University,MS,Jackson,True,#395-435,29195,46,3.5,1501,980-1200,18-24
