institution.displayName,institution.city,institution.zip,ranking.displayRank,searchData.satAvg.rawValue,searchData.testAvgs.displayValue.1.value
Abilene Christian University,Abilene,79699,#320,1030,20-27
Abraham Baldwin Agricultural College,Tifton,31793,#57,940,16-22
Academy of Art University,San Francisco,94105,#105-115,,N/A
Adams State University,Alamosa,81102,#99,920,18-23
Adelphi University,Garden City,11530,#163,1110,22-29
Adrian College,Adrian,49221,#29,940,17-25
AdventHealth University,Orlando,32803,Unranked,,N/A
Agnes Scott College,Decatur,30030,#63,1130,24-31
Alabama A&M University,Normal,35762,#98,840,15-20
Alabama State University,Montgomery,36101,#395-435,820,16-20
Alaska Pacific University,Anchorage,99508,#28,,N/A
Albany College of Pharmacy and Health Sciences,Albany,12208,Unranked,,N/A
Albany State University,Albany,31705,#100,810,14-17
Albertus Magnus College,New Haven,06511,#111,880,21-24
Albion College,Albion,49224,#124,,N/A
Albizu University,San Juan,00902,Unranked,,N/A
Albizu University--Miami,Miami,,Unranked,,N/A
Albright College,Reading,19612,#146,,N/A
Alcorn State University,Lorman,39096,#52,903,15-24
Alderson Broaddus University,Philippi,26416,#68,892,14-22
Alfred State College--SUNY,Alfred,14802,#8,960,19-25
Alfred University,Alfred,14802,#69,1085,25-30
Alice Lloyd College,Pippa Passes,41844,#34,850,16-22
Allegheny College,Meadville,16335,#75,1114,23-30
Allen College,Waterloo,50703,Unranked,,N/A
Allen University,Columbia,29204,#186-204,,N/A
Alliance University,New York,10004,#151-167,848,18-24
Alliant International University,San Diego,92131,Unranked,,N/A
Alma College,Alma,48801,#7,965,18-25
Alpena Community College,Alpena,49707,Unranked,,N/A
Alvernia University,Reading,19607,#296,995,N/A
Alverno College,Milwaukee,53234,#56,,15-21
American Academy of Art,Chicago,60604,Unranked,,N/A
American College of Thessaloniki,"Thessaloniki, Greece",,Unranked,,N/A
American International College,Springfield,01109,#395-435,940,N/A
American Samoa Community College,Pago Pago,96799,Unranked,,N/A
American University,Washington,20016,#105,1290,29-33
American University in Bulgaria,Blagoevgrad 2700,,Unranked,,N/A
American University in Cairo,New Cairo 11835,,Unranked,,N/A
American University of Beirut,"Riad El Solh, Beirut",,Unranked,,N/A
American University of Health Sciences,Signal Hill,,Unranked,,N/A
American University of Paris,Paris,75007,Unranked,,N/A
American University of Puerto Rico--Bayamon,Bayamon,00960,#81,,N/A
American University of Puerto Rico--Manati,Bayamon,00960,Unranked,,N/A
AmeriTech College-Draper,Draper,,Unranked,,N/A
Amherst College,Amherst,01002,#2,,32-35
Anderson University,Anderson,29621,#41,,N/A
Anderson University (IN),Anderson,46012,#67,980,17-25
Andrew College,Cuthbert,39840,Unranked,,N/A
Andrews University,Berrien Springs,49104,#320,1092,20-29
Angelo State University,San Angelo,76909,#72,910,17-23
Anna Maria College,Paxton,01612,#151-167,,N/A
Antelope Valley College,Lancaster,93536,Unranked,,N/A
Antioch College,Yellow Springs,45387,#100,,19-26
Appalachian Bible College,Bradley,25818,Unranked,,N/A
Appalachian State University,Boone,28608,#3,1100,21-27
Aquinas College,Grand Rapids,49506,#156,1000,N/A
Arcadia University,Glenside,19038,#69,1088,24-29
Arizona Christian University,Glendale,85306,#18,1000,18-25
Arizona College of Nursing--Las Vegas,Las Vegas,,Unranked,,N/A
Arizona College of Nursing--Tempe,Tempe,,Unranked,,N/A
Arizona State University,Tempe,85287,#105,1120,19-27
Arkansas Baptist College,Little Rock,72202,#91-99,,N/A
Arkansas State University,State University,72467,#361,980,19-25
Arkansas Tech University,Russellville,72801,#73,990,17-24
